,neg,pos,neut
accompany,0,5,0
accomplice,1,0,0
accomplish,0,6,1
accomplished,0,3,0
accomplishment,0,1,2
accord,8,22,39
accordance,1,0,1
accordingly,0,2,0
accordion,0,0,1
accost,0,0,1
account,22,15,50
accountable,0,0,1
accounting,0,0,1
accredat,0,0,1
accreditation,0,1,0
accrue,0,0,1
accruement,0,0,2
acct,0,2,1
accumulation,1,0,1
accuplacer,0,1,0
accuracy,0,1,2
accurate,4,3,6
accusation,0,0,1
accuse,10,8,8
accused,1,0,0
accuser,1,0,1
accuss,1,0,0
accustom,0,0,1
accustomed,1,0,0
acdc,0,3,3
ace,1,24,24
acehcenterid,0,0,1
aceofjay,0,0,1
aces,0,1,0
acffiorentina,0,1,0
ach,0,0,1
acha,0,0,1
ache,1,1,2
achey,0,0,1
achieve,1,7,8
achievement,0,9,3
achiever,0,0,1
achieves,0,1,0
achilles,1,0,1
achiversparadise,0,1,0
achy,1,0,0
acid,0,1,2
acidalumni,0,0,1
acii,0,0,1
ack,1,0,0
acknowledge,1,2,5
acknowledgement,0,1,0
ackroyd,0,1,0
acl,4,1,3
aclfest,0,0,1
aclj,1,0,0
aclu,0,0,1
acm,0,1,0
acmilan,0,1,2
acolyte,0,0,1
acorn,0,0,1
acount,0,0,2
acoustic,0,8,9
acquaint,0,1,1
acqui,0,0,1
acquiescence,0,0,1
acquire,1,5,8
acquisition,0,1,1
acre,0,0,1
acronym,1,0,0
acrylat,0,0,1
act,45,59,80
acta,2,2,7
actiderm,0,1,0
acting,2,5,4
action,16,33,64
activ,0,0,1
activate,0,3,5
active,4,15,9
actively,2,0,1
activerecoveryday,0,0,1
activision,1,0,1
activism,1,1,0
activist,5,1,11
activists,0,0,1
activities,0,0,1
activity,3,8,14
actofawesome,0,0,1
actor,6,20,8
actors,1,1,0
actress,4,6,7
acts,1,3,0
actua,0,0,1
actual,8,13,19
actualize,0,0,1
actually,74,116,108
actualy,0,0,1
actuary,0,0,1
actvote,0,1,1
acura,0,1,0
acwsgothenburg,0,1,0
ad,17,8,33
ada,0,1,2
adab,1,0,0
adalet,0,1,0
adam,5,10,19
adamant,0,0,1
adamawa,3,0,0
adambehindthemusic,0,1,0
adamczykankara,1,0,0
adamrd,0,0,1
adams,7,14,25
adapt,0,1,0
adaptation,0,2,2
adaptor,0,1,0
adarsh,0,0,1
adarshliberal,0,0,1
adblock,0,1,0
adblockers,0,1,0
add,15,57,79
addams,0,1,0
addict,3,10,2
addicted,0,3,1
addictedtonetflixinstant,0,0,1
addiction,1,6,5
addictive,0,1,1
addidas,0,1,0
additi,1,0,0
addition,0,8,7
additional,1,2,6
additionnextime,0,1,0
additive,0,0,1
addo,0,0,2
address,9,9,36
addresses,0,0,1
ade,0,1,3
adebayor,4,1,9
adebyor,0,1,0
aded,0,1,0
adeeb,0,0,1
adeel,0,1,0
adel,0,0,2
adelaide,2,3,8
adele,1,9,13
adelson,0,0,2
adeniji,0,0,1
adept,0,1,0
adequately,1,0,0
aderemi,1,0,0
adesina,0,0,1
adeslaz,0,0,1
adff,0,1,0
adha,0,2,3
adhitia,0,1,0
adidas,2,10,9
adidasgolf,0,1,0
adie,0,1,0
adieu,0,2,1
adil,0,0,1
adios,0,0,1
aditi,0,0,1
adj,0,0,1
adjacent,0,0,1
adjourn,0,0,1
adjunct,0,0,1
adjust,0,1,7
adjusted,0,0,1
adjustment,1,1,5
adjuvant,0,1,0
adkahsk,0,0,1
adlaksjskdh,0,1,0
adm,0,0,2
admendment,0,0,2
admin,4,0,4
administratio,1,0,0
administration,2,4,5
adminkim,0,0,1
admir,0,0,1
admirable,0,1,0
admiral,0,1,0
admire,0,9,3
admirer,1,0,0
admission,0,4,2
admissions,1,0,1
admit,12,22,18
admittance,0,0,1
admittedly,0,0,1
admnt,1,0,0
admonish,1,0,0
adn,0,1,0
adnan,3,4,4
adobe,0,0,1
adolescent,1,0,0
adolf,1,0,0
adopt,2,4,4
adoption,0,3,2
adorable,1,15,2
adorableu,0,1,0
adoration,0,0,1
adorbs,0,3,0
adore,1,4,0
adorrbb,0,1,0
adrenalin,0,0,1
adrenalina,0,1,0
adrenlaine,0,1,0
adress,0,0,1
adrian,1,5,3
adriana,0,0,2
adriano,2,2,3
adriaticalps,0,0,1
adrien,0,0,1
adrienne,0,1,9
adrsd,0,0,1
adryan,1,0,0
ads,0,1,1
adt,0,1,0
adu,1,0,0
adua,1,0,0
adulation,1,0,0
adult,5,15,7
adulterous,1,0,0
adultery,2,0,0
adulthood,0,1,1
adultlife,0,1,0
adults,0,0,2
adultshit,0,0,1
adv,0,2,4
advance,3,15,19
advanced,2,7,9
advancescreening,0,1,0
advantage,1,15,12
advengers,0,1,0
advent,0,1,2
adventists,0,0,1
adventure,1,8,3
adventureland,0,0,1
adventures,0,1,0
advert,1,4,3
advertise,1,2,3
advertisement,0,2,0
advertiser,0,0,1
advertising,1,1,2
advice,5,6,9
adviory,0,1,0
advise,2,5,9
adviser,3,1,2
advisor,0,1,6
advocacy,0,0,1
advocate,1,2,7
adw,0,1,0
adweek,0,1,0
adwords,0,1,0
ae,1,0,2
aed,0,1,0
aedt,0,0,1
aerial,1,0,2
aerobics,0,0,1
aeros,0,0,1
aerosmith,0,2,0
aerospace,0,0,1
aesop,0,1,1
aest,0,1,0
aesthetic,0,1,1
aet,0,2,0
af,15,16,11
afailedtextfromtoday,1,0,0
afar,0,0,1
afc,4,16,19
afcb,0,2,0
afcbcst,0,1,0
afcon,0,0,7
afconqualifier,1,0,1
afcoqualifier,0,0,1
afcvcfc,1,0,1
afcvhcfc,0,1,0
afd,0,0,1
aff,1,1,0
affadavit,0,1,0
affair,1,5,5
affaireapollonia,0,1,0
affairs,0,0,3
affect,8,5,12
affected,0,0,1
affectionate,0,2,0
affidavit,1,1,0
affiliate,0,2,3
affiliation,1,0,2
affinity,0,0,1
affirm,1,1,1
affirmative,0,1,2
affle,0,0,1
affleck,0,10,11
afflict,0,0,2
affluent,0,1,1
afford,5,6,8
affordable,1,3,0
afganistan,1,0,0
afgekeken,0,0,1
afghan,4,4,0
afghanistan,5,0,2
afghans,5,2,2
afhs,0,1,0
afhv,1,0,0
afi,0,0,1
afire,0,0,1
afl,1,5,10
afleaglestiger,0,1,1
aflpa,0,1,0
afme,0,0,1
afmobi,0,0,1
afolayan,0,22,6
afoot,0,0,1
afp,4,0,5
afpendi,0,1,0
afr,0,0,1
afraid,13,5,23
africa,20,9,29
africaid,0,1,0
african,1,7,9
africanbaze,0,0,1
africans,1,0,1
africapkenya,0,1,0
africautopia,0,1,0
afriendlikeoyo,0,1,1
afrobeat,0,0,1
afrojack,0,0,2
afropolitan,0,0,1
afsaneh,1,0,0
aft,0,1,1
afta,0,0,1
afte,1,0,2
afterbirth,0,1,1
aftergetinvolved,0,1,0
afterglow,0,0,1
aftermath,1,2,5
afterno,0,0,1
afternoon,8,88,65
afternoons,0,1,0
afterparadise,0,2,0
afterparty,0,0,2
aftertaste,0,1,0
aftertheholiday,0,1,0
afterward,1,0,2
afterwork,0,1,0
aftr,3,1,2
aftrwrd,1,0,0
afzal,0,0,1
ag,2,0,7
aga,0,1,0
agad,0,1,1
agaian,0,1,0
againt,0,0,1
againtgif,0,1,0
againto,0,1,0
againx,1,0,0
agaist,0,2,0
agaklah,0,0,1
agbim,0,0,1
agdin,1,0,0
age,14,32,44
aged,4,0,2
agency,4,2,10
agenda,7,6,13
agent,3,6,23
agenthe,0,0,1
agents,2,1,1
agentsofshield,0,1,1
ages,1,1,3
agesb,0,1,0
agess,0,0,1
aggeliesergasia,0,0,1
agger,0,0,1
aggie,1,1,1
aggies,0,0,4
aggravate,1,0,0
aggravatin,0,1,0
aggreement,1,0,0
aggression,4,2,2
aggressive,2,2,4
aggtown,0,0,1
agh,0,0,1
aghh,1,1,0
agi,0,2,7
agianst,1,0,0
agile,0,1,0
aging,0,0,1
aginst,0,1,0
agitate,1,0,0
agline,0,0,1
agme,0,0,1
agn,1,0,2
agnst,0,0,1
ago,19,50,70
agonizing,1,0,0
agora,0,0,1
agosto,0,1,0
agr,0,0,1
agrawal,0,1,0
agre,0,0,1
agree,31,62,80
agreeable,0,0,1
agreed,0,2,0
agreement,8,4,17
agrees,1,1,0
agressive,0,0,1
agri,0,0,1
agricultural,1,0,0
agriculture,0,0,2
agst,1,0,0
agt,0,1,1
aguero,0,2,1
agueroo,0,1,0
aguilera,0,1,1
ah,7,25,17
aha,0,2,3
ahaa,0,2,1
ahah,0,2,0
ahaha,0,3,1
ahahah,1,0,1
ahahaha,0,2,0
ahahahaha,1,0,1
ahahahahha,0,0,1
ahappy,0,1,0
ahbaya,0,0,1
ahead,16,57,81
ahehe,0,1,0
ahem,0,1,0
ahh,9,34,7
ahhahhahh,4,0,0
ahhdnfcn,0,1,0
ahihihihi,0,1,0
ahjussi,0,1,0
ahkala,0,0,1
ahl,0,1,1
ahli,0,1,0
ahly,1,0,1
ahm,1,0,0
ahmadchalabi,1,0,0
ahmadi,0,0,1
ahmadineijad,1,0,0
ahmadiyyacult,0,1,0
ahmadiyyaisnotislam,1,0,0
ahmadiyyat,0,1,0
ahmed,0,1,5
ahmedabad,0,0,2
ahmediya,1,0,0
ahmet,0,0,1
ahn,0,0,1
ahold,0,0,1
ahora,0,0,1
ahosc,0,0,1
ahoy,0,3,0
ahri,0,0,1
ahs,6,10,9
ahsaanu,0,1,0
ahshotel,0,0,2
ai,2,1,1
aid,4,6,8
aida,0,1,1
aide,2,0,2
aiden,0,3,0
aides,0,0,1
aiding,0,0,1
aids,0,0,8
aiesec,0,0,1
aight,0,2,1
aiigh,0,0,1
aiim,0,0,1
aiko,0,1,0
ail,0,0,1
aim,7,10,10
aimhigher,0,0,1
ain,0,1,0
aina,0,0,1
ainsley,0,1,0
ainsworth,0,0,1
aint,2,0,1
aintgottimeforthatshit,1,0,0
aints,0,1,0
air,26,58,84
airasia,4,3,7
airbase,0,0,1
airbnb,0,2,0
airborne,2,0,2
airbridgecargo,0,0,1
aircraft,3,0,1
aird,0,1,0
aires,0,1,4
airforce,0,0,2
airing,0,1,3
airline,0,0,4
airlines,1,3,1
airlink,0,0,1
airman,0,0,1
airmen,0,1,0
airplane,0,1,1
airport,3,12,26
airs,0,0,2
airsoft,0,1,0
airstrike,1,0,5
airstrip,0,1,0
airtel,0,1,2
airtelsba,0,0,1
airtime,0,0,2
airwave,0,1,0
airway,0,1,0
airways,0,0,1
airy,0,1,0
aishah,0,1,0
aishwarya,0,2,0
aisle,0,1,3
aissf,0,0,1
aiya,0,1,0
aiyar,2,0,0
aj,2,12,14
aja,1,10,4
ajavon,0,0,1
ajax,1,4,7
ajay,0,0,1
ajayi,0,0,1
aje,0,0,1
ajinkya,0,0,2
ajna,0,0,1
ak,1,2,6
aka,1,34,22
akakeya,0,1,0
akbar,1,1,1
akbota,0,1,0
akchote,0,1,0
akhi,0,1,0
akhilesh,1,0,0
akhirat,0,1,0
aki,0,1,0
akin,1,1,2
akita,0,1,0
ako,1,7,14
akon,0,1,0
akong,0,1,0
akp,2,0,1
akpabio,0,0,1
akpom,0,0,1
akron,0,3,2
aksingh,1,0,0
aktuell,0,0,1
aktv,0,0,2
akwa,1,0,1
al,15,36,55
ala,0,1,1
alabama,5,11,30
aladdin,0,12,8
alaikum,0,1,0
alam,0,0,1
alameda,0,1,1
alamitos,0,0,1
alamo,0,0,2
alamr,0,0,1
alan,3,13,11
alanis,0,1,0
alarm,2,12,15
alarming,1,0,0
alarmist,0,0,1
alas,2,1,2
alaska,3,3,3
alaskan,0,5,1
alastair,0,1,0
alawis,1,0,0
alawite,0,0,2
alaykum,0,1,1
alb,0,0,1
alba,0,1,1
alban,0,2,1
albania,0,0,1
albanian,0,0,1
albans,0,1,0
albany,1,0,2
albay,0,0,1
albeit,0,1,1
albert,0,2,4
alberta,0,2,1
alberto,0,0,2
albion,0,3,11
album,61,272,298
albums,0,1,1
albumwork,0,1,0
albuquerque,0,3,1
alburm,0,1,0
alburquerque,0,1,0
albury,0,1,0
alc,1,0,0
alcantra,1,0,0
alcatel,0,0,1
alcatraz,0,1,1
alchemist,0,0,1
alciato,0,1,0
alcoa,0,0,1
alcohol,0,0,4
alcoholic,1,0,2
alcove,0,1,0
alcoyano,0,1,0
alcs,1,0,1
aldean,11,110,125
aldeanampkenny,0,1,0
alderson,1,0,0
alderwiereld,0,0,1
aldo,1,22,17
aldovsmcgregor,1,0,0
aldrich,0,1,0
alds,0,0,1
aldub,0,1,0
aldubbattleforacause,0,1,0
aldubjourneytoforever,0,1,0
aldubtherevelation,0,1,0
aldubwishimaine,0,2,0
ale,1,5,4
alec,0,0,1
aleix,0,1,0
alejandro,0,2,1
alena,0,0,1
alert,2,7,14
alertst,0,0,2
alesana,0,0,2
alessandrafelicia,0,1,0
alessandria,0,1,0
alessandro,0,0,1
alessia,0,0,1
alessio,0,0,1
alesso,2,0,0
alex,4,20,21
alexa,0,1,0
alexander,6,2,8
alexandermcqueen,0,0,1
alexandra,0,2,1
alexandre,0,1,0
alexei,0,1,3
alexi,0,0,2
alexis,0,2,7
alexndria,1,0,0
alf,0,1,2
alfa,0,0,1
alfc,0,0,1
alfie,0,0,1
alfonso,0,1,0
alfred,0,1,0
alfy,0,1,0
algebaa,0,0,1
algebra,2,0,2
algeria,0,0,1
algerian,1,0,0
algorithm,0,0,1
alhaji,0,0,2
alhamdulilah,1,0,1
alhamdulillah,0,6,0
alhamdullilah,0,1,0
ali,5,9,17
alia,0,1,0
alibi,1,0,0
alice,0,4,2
alicia,0,0,2
alien,4,2,9
alienate,1,0,1
aliens,1,9,5
align,2,3,3
aliisthegoat,1,0,0
alike,0,4,3
alikum,0,1,0
alisah,0,0,1
alisareal,0,1,0
alisonuttley,0,1,0
alit,0,0,1
alite,0,1,0
alittle,0,0,1
alive,16,47,21
alivebut,1,0,0
alivedub,0,1,0
aliy,1,0,0
aliyah,1,0,0
alkek,0,0,1
allaah,1,1,0
allah,47,78,53
allahswt,0,0,1
allahu,0,1,1
allahuma,0,1,0
allana,0,1,0
allapcnigeria,1,0,0
allbe,1,0,0
alldaybreakfast,0,1,0
alldaybtch,0,0,1
allderdice,3,7,8
allegation,5,0,1
allegations,0,0,6
allege,6,1,6
alleged,3,0,1
allegedly,3,0,3
allegiance,3,0,1
allegra,0,0,1
allen,3,6,16
allencarlanz,0,1,0
allentown,0,1,1
allentownfair,0,1,0
allenvalladar,0,0,1
allergy,1,1,0
alley,0,1,2
allez,0,1,0
allhailtheprince,0,1,0
alli,0,7,6
alliance,4,15,13
allianz,0,1,0
allibhoy,0,0,1
allie,0,3,2
alliegance,0,0,1
allifact,0,1,0
allilivefor,0,1,0
allin,1,0,0
allireland,0,0,1
allison,0,3,3
allium,0,0,1
alliums,0,0,1
alliumsvancouver,0,0,1
allivesmatter,1,0,1
allocate,0,0,1
allow,32,23,43
allowance,0,0,2
allowd,1,0,0
allowedlietonon,0,0,1
alloy,0,1,0
allregion,1,0,0
allrounder,0,0,1
alls,0,0,1
allsaint,0,0,1
allstar,1,5,8
allstars,0,0,1
allthe,0,0,1
ally,2,3,8
allyn,0,0,1
allysin,0,1,0
alma,0,1,0
almajiri,0,0,1
almaty,0,0,1
almfancam,0,0,1
almighty,1,10,1
almonds,0,0,1
almondsbury,0,1,0
almunia,0,0,1
alnwick,0,0,1
aloha,0,1,0
alomar,0,0,1
alondraa,0,0,1
alongsid,0,0,1
alongside,1,10,7
alonso,8,6,17
alonzo,0,0,1
alook,0,1,0
alopecia,0,0,1
aloq,0,0,1
alot,4,9,12
alotta,0,1,1
alout,0,0,1
aloysius,0,0,1
alp,0,0,1
alpah,0,0,1
alpfa,0,0,1
alpha,0,4,1
alphabet,0,0,1
alphabetampm,0,0,1
alphad,0,1,0
alpharetta,0,1,0
alphas,0,1,0
alpinas,0,1,0
alps,0,1,0
alqueda,0,0,1
alr,0,0,1
alrady,0,0,1
alrdy,0,2,1
alre,0,0,1
alresford,0,1,0
alright,6,44,26
alrighty,0,0,1
alshabaab,0,0,1
alsina,0,5,7
alsinas,1,0,0
alsip,0,1,9
alt,0,0,1
altafini,0,1,0
altar,0,0,1
altarserver,0,0,1
altchek,0,0,1
alter,0,0,5
alteration,0,1,0
alternate,1,1,4
alternative,2,5,7
alternativemusic,0,1,0
alterum,0,0,2
altgame,0,1,0
altho,0,0,1
althought,0,0,1
altitud,1,0,0
altitude,1,1,1
altman,0,1,0
alto,0,0,1
altogether,0,0,2
alton,0,2,0
alum,0,1,3
aluminum,2,1,0
alumnae,0,1,0
alumni,0,4,2
alumnireturn,0,0,1
alumnis,0,1,0
alumnus,0,0,1
aluo,0,0,1
alvarez,0,0,2
alvaro,0,0,1
alvernia,0,1,0
alves,0,1,0
alwan,0,0,1
alway,0,2,1
alwaysinourshadow,0,1,0
alwaysup,0,0,1
alwayyz,0,1,0
alwhit,1,0,0
alwyn,0,0,1
aly,0,0,1
alzheimer,0,1,1
ama,0,3,2
amakson,0,0,1
amala,0,1,0
amalgamation,0,0,1
amalie,0,0,1
amaliearena,0,1,0
amam,0,0,2
aman,0,1,0
amanda,2,7,21
amandaknox,0,0,2
amanzai,0,1,0
amar,0,0,1
amare,0,0,1
amarillo,0,0,2
amarosa,0,1,0
amass,0,1,1
amateur,2,29,37
amateurchampion,0,1,0
amature,1,0,0
amavi,0,0,1
amazayn,0,1,1
amaze,0,1,0
amazeball,0,2,0
amazed,0,3,1
amazement,0,1,0
amaziinggaa,0,1,0
amazin,0,2,0
amazing,3,249,12
amazingamateur,0,1,0
amazingi,0,1,0
amazingly,0,3,0
amazon,86,183,90
amazonprime,0,1,0
amazonprimeday,1,0,1
amazonsmile,0,1,0
amazonuk,0,0,1
amazulu,0,1,0
ambassad,0,1,0
ambassador,2,7,3
amber,1,1,2
ambien,1,0,0
ambience,0,1,0
ambika,0,0,1
ambition,0,0,5
ambitious,0,0,1
ambivalent,0,1,0
ambozia,0,1,0
ambre,1,0,0
ambrose,9,17,62
ambroseforwwechampion,0,1,0
ambrozia,0,0,1
ambulance,0,0,1
ambulatory,0,0,1
ambush,1,0,1
amc,1,4,3
amcfearfest,0,0,1
amd,0,0,1
amed,0,0,1
ameen,2,10,7
amel,0,0,1
amelia,0,0,1
ameliorate,1,0,0
amen,1,12,6
amend,13,3,12
amendment,58,13,79
amendments,1,0,0
amendola,0,2,1
ament,0,1,2
aments,0,0,1
america,49,55,76
american,40,42,70
americana,0,0,1
americanchristianity,0,0,1
americanhorrorstory,0,0,1
americans,10,9,7
americaplatz,0,1,0
americas,0,1,1
americascup,0,1,0
americastrong,0,1,0
americavisa,1,0,0
amersham,0,0,1
ames,1,0,0
amethi,0,0,1
amex,0,0,2
amextennis,0,1,0
amfar,0,0,1
amfm,0,1,1
amg,0,1,0
amgen,0,1,0
amgst,0,0,1
ami,0,5,8
amibo,0,1,0
amici,0,2,0
amid,1,2,7
amidst,0,1,0
amie,0,0,1
amigo,0,1,1
amigos,0,1,0
amiibo,0,0,5
amin,1,2,0
amintheam,1,0,0
amir,1,1,2
amiss,1,0,0
amit,0,0,1
amitabh,1,1,0
amity,0,1,0
amman,0,0,1
ammendment,3,0,3
ammer,1,0,0
ammunition,0,0,1
amnd,1,0,0
amnesia,0,1,1
amnesty,1,0,4
amnt,1,0,0
amnz,0,1,0
amo,0,3,3
amoo,0,1,0
amorous,0,1,0
amorphis,0,4,0
amos,1,4,3
amounts,0,0,1
amour,0,0,1
amp,296,841,856
ampa,0,0,1
ampall,0,0,1
ampamp,1,1,4
ampampamp,0,0,1
ampampmike,0,1,0
ampanyone,1,0,0
ampaposbye,0,0,1
ampaposfridayampapos,0,0,1
ampas,0,0,1
ampaug,0,0,1
ampbell,0,0,1
ampbon,0,0,1
ampcabinet,0,0,1
ampcarson,1,0,0
ampdell,0,1,0
amped,1,0,0
ampfor,0,0,1
ampgermophobeamp,0,0,1
ampha,1,0,0
amphis,1,0,0
amphitheater,0,5,1
amphitheatre,0,2,3
ampldquodid,0,0,1
ample,0,0,1
ampliation,0,0,1
amplificat,0,0,1
amplified,0,1,0
amplify,0,1,2
amploverdos,0,0,1
amplsquosaturday,0,0,1
amplt,0,1,0
ampm,0,4,8
ampmake,0,1,0
ampmathews,0,0,1
ampmay,0,1,0
ampmorlandofarmersmarket,0,1,0
ampnbsp,0,0,1
ampnbspampnbspampnbspampnbspampnbspgot,0,1,0
ampnbspsen,0,1,0
ampobedience,0,0,1
amponly,0,0,1
amppm,1,1,0
ampposs,0,0,1
ampquotone,1,0,0
ampquotwill,0,0,1
ampro,0,0,1
ampsee,0,1,1
ampshe,0,0,1
ampt,0,1,0
ampth,1,1,0
ampthe,0,0,1
ampwatch,0,1,0
ampwe,0,1,0
ampwork,1,0,0
amr,5,0,5
amread,0,1,0
amreen,1,0,0
ams,0,0,2
amsterdam,7,12,6
amul,0,0,1
amunt,0,0,1
amuse,2,3,1
amusement,0,0,1
amusing,0,2,0
amway,0,0,1
amwith,0,1,0
amwrit,0,1,1
amwriting,0,0,1
amwritingfantasy,0,0,1
amy,23,58,67
amyschumer,0,1,0
amywhere,1,0,0
ana,0,0,3
anabave,0,0,1
anaconda,0,3,2
anacortes,0,0,1
anada,0,1,0
anagram,0,0,1
anaheim,0,1,3
anal,3,0,0
analasy,0,0,1
analog,0,0,1
analogy,1,2,0
analyse,0,2,0
analysis,2,3,6
analyst,2,3,6
analystst,0,0,1
analytic,0,2,3
analytics,0,0,2
analyze,0,0,2
anambra,0,0,1
ananda,0,0,1
anarchist,1,0,0
anarchy,0,15,7
anastasia,0,0,1
anastasio,0,1,0
anatomy,9,8,11
anberlin,0,0,1
anc,1,0,1
ancelotti,7,25,13
ancestor,0,1,0
anchor,4,1,8
anchorage,0,0,2
anchorman,1,0,0
ancient,1,4,3
ancle,0,0,1
andalsopanera,0,1,0
andami,0,1,0
andando,0,0,1
andbreathe,0,1,0
anderson,5,31,85
andersonampmurray,0,1,0
andersonstown,1,0,0
andhedid,0,0,1
andhomos,0,0,1
andhra,0,0,1
andi,0,1,0
andito,0,1,0
andor,3,5,3
andover,0,1,0
andra,0,0,1
andrade,0,0,1
andre,7,13,48
andrea,1,1,5
andreaa,0,0,1
andreas,0,0,2
andres,0,2,0
andrew,5,15,9
andrewrsorkin,1,0,0
andrews,1,23,9
android,7,29,36
androidgtstar,0,1,0
androidpay,0,1,0
androidportfolio,0,0,1
androidtech,0,1,0
andrus,0,0,1
andstill,1,0,1
andthatshowtheriotstart,0,0,1
andthenew,0,1,0
andthenthereweretwo,0,1,0
andy,10,26,38
andymurray,0,1,0
andyx,0,2,0
ane,0,0,1
anecdot,0,1,0
anecdote,0,1,0
anel,0,0,1
anew,0,1,4
anf,1,0,0
anfield,2,4,8
ang,3,8,6
angel,2,8,14
angela,28,18,60
angeles,8,15,31
angelic,0,1,0
angelina,1,0,0
angelinvestor,0,1,0
angelito,0,0,1
angello,0,0,1
angelo,0,1,0
angelos,0,2,0
angelou,0,1,1
angeloujabine,0,1,0
angels,0,13,13
angelus,0,0,1
anger,5,1,6
angering,0,0,1
anggrek,0,0,1
angie,1,1,0
anglamigeh,0,0,1
angle,0,3,8
angling,0,0,1
anglo,0,0,3
angola,0,0,1
angrily,0,0,2
angry,17,4,10
angsty,1,0,0
anguilla,0,0,1
anguish,1,0,0
angus,0,2,1
anhur,0,0,1
ani,1,2,3
anido,0,0,1
anightmareongeorgestreet,0,0,1
anil,0,0,1
anima,0,0,2
animal,6,18,11
animalright,0,0,1
animalsense,0,0,1
animate,1,4,3
animation,1,3,0
anime,3,8,8
anina,0,1,0
aninew,0,0,1
aniston,1,2,10
anit,0,0,1
aniv,1,0,0
ank,0,0,1
ankara,0,0,6
ankh,0,0,1
ankle,3,5,6
ankoku,0,0,1
ann,0,2,4
anna,2,8,9
annabelle,5,11,4
annabelleenglish,0,1,0
annahazare,2,0,0
annalisa,0,0,1
annamarie,0,1,0
annan,0,4,6
anne,1,2,6
annexation,0,0,1
annie,0,1,3
anniesboob,0,1,0
annihilator,0,0,1
anniv,1,6,0
anniver,0,0,1
anniversaries,0,0,1
anniversary,14,107,81
anniversay,0,0,1
anniversity,0,1,0
anno,0,1,0
